,clear_date,Aging Bucket
0,2020-03-14,0-15days
1,2020-03-14,0-15days
2,2020-03-14,0-15days
3,2020-03-15,0-15days
4,2020-05-04,0-15days
5,2020-03-14,0-15days
6,2020-04-02,0-15days
7,2020-03-14,0-15days
8,2020-03-29,31-45days
9,2020-04-06,0-15days
10,2020-03-13,0-15days
11,2020-03-14,0-15days
12,2020-03-18,0-15days
13,2020-03-14,0-15days
14,2020-03-14,0-15days
15,2020-03-14,0-15days
16,2020-03-15,0-15days
17,2020-03-15,0-15days
18,2020-03-15,0-15days
19,2020-03-17,0-15days
20,2020-03-14,0-15days
21,2020-03-13,0-15days
22,2020-04-02,0-15days
23,2020-03-14,0-15days
24,2020-03-14,0-15days
25,2020-03-14,0-15days
26,2020-05-02,0-15days
27,2020-03-14,0-15days
28,2020-03-16,0-15days
29,2020-03-28,16-30days
30,2020-05-04,0-15days
31,2020-03-15,0-15days
32,2020-03-15,0-15days
33,2020-03-14,0-15days
34,2020-03-14,0-15days
35,2020-03-14,0-15days
36,2020-03-13,0-15days
37,2020-03-13,0-15days
38,2020-05-05,0-15days
39,2020-03-13,0-15days
40,2020-03-14,0-15days
41,2020-03-14,0-15days
42,2020-03-14,0-15days
43,2020-03-13,0-15days
44,2020-03-14,0-15days
45,2020-03-14,0-15days
46,2020-03-14,0-15days
47,2020-03-15,0-15days
48,2020-03-13,0-15days
49,2020-03-14,0-15days
50,2020-03-13,0-15days
51,2020-03-13,0-15days
52,2020-03-14,0-15days
53,2020-03-16,0-15days
54,2020-03-20,0-15days
55,2020-03-12,0-15days
56,2020-03-13,0-15days
57,2020-04-12,0-15days
58,2020-03-14,0-15days
59,2020-03-13,0-15days
60,2020-03-19,0-15days
61,2020-03-13,0-15days
62,2020-04-14,0-15days
63,2020-03-17,0-15days
64,2020-03-13,0-15days
65,2020-03-15,0-15days
66,2020-03-14,0-15days
67,2020-03-14,0-15days
68,2020-05-04,0-15days
69,2020-03-15,0-15days
70,2020-03-15,0-15days
71,2020-03-16,0-15days
72,2020-03-15,0-15days
73,2020-04-01,0-15days
74,2020-03-16,0-15days
75,2020-03-12,0-15days
76,2020-03-14,0-15days
77,2020-03-14,0-15days
78,2020-03-14,0-15days
79,2020-03-17,0-15days
80,2020-03-10,0-15days
81,2020-03-19,0-15days
82,2020-03-14,0-15days
83,2020-03-12,0-15days
84,2020-03-14,0-15days
85,2020-03-15,0-15days
86,2020-03-15,0-15days
87,2020-05-05,0-15days
88,2020-03-15,0-15days
89,2020-03-14,0-15days
90,2020-03-14,0-15days
91,2020-03-15,0-15days
92,2020-04-03,0-15days
93,2020-03-15,0-15days
94,2020-03-16,0-15days
95,2020-03-14,0-15days
96,2020-03-13,0-15days
97,2020-03-14,0-15days
98,2020-03-14,0-15days
99,2020-04-04,0-15days
100,2020-03-15,0-15days
101,2020-05-01,0-15days
102,2020-03-14,0-15days
103,2020-03-19,0-15days
104,2020-03-14,0-15days
105,2020-03-14,0-15days
106,2020-03-20,0-15days
107,2020-03-15,0-15days
108,2020-03-18,0-15days
109,2020-03-15,0-15days
110,2020-03-15,0-15days
111,2020-03-15,0-15days
112,2020-03-14,0-15days
113,2020-03-14,0-15days
114,2020-03-15,0-15days
115,2020-03-14,0-15days
116,2020-03-15,0-15days
117,2020-03-15,0-15days
118,2020-03-14,0-15days
119,2020-03-15,0-15days
120,2020-03-18,0-15days
121,2020-03-13,0-15days
122,2020-03-13,0-15days
123,2020-03-14,0-15days
124,2020-03-13,0-15days
125,2020-04-02,0-15days
126,2020-03-14,0-15days
127,2020-03-13,0-15days
128,2020-03-15,0-15days
129,2020-03-14,0-15days
130,2020-03-10,0-15days
131,2020-03-14,0-15days
132,2020-03-15,0-15days
133,2020-03-17,0-15days
134,2020-03-14,0-15days
135,2020-03-15,0-15days
136,2020-03-15,0-15days
137,2020-03-14,0-15days
138,2020-03-14,0-15days
139,2020-03-14,0-15days
140,2020-03-15,0-15days
141,2020-03-14,0-15days
142,2020-03-15,0-15days
143,2020-04-10,0-15days
144,2020-03-12,0-15days
145,2020-03-24,0-15days
146,2020-03-14,0-15days
147,2020-03-14,0-15days
148,2020-03-22,0-15days
149,2020-03-15,0-15days
150,2020-03-14,0-15days
151,2020-03-14,0-15days
152,2020-03-15,0-15days
153,2020-03-14,0-15days
154,2020-03-16,0-15days
155,2020-03-16,0-15days
156,2020-05-06,0-15days
157,2020-03-16,0-15days
158,2020-03-16,0-15days
159,2020-03-16,0-15days
160,2020-03-16,0-15days
161,2020-03-16,0-15days
162,2020-03-16,0-15days
163,2020-03-16,0-15days
164,2020-03-15,0-15days
165,2020-03-16,0-15days
166,2020-03-15,0-15days
167,2020-03-15,0-15days
168,2020-03-14,0-15days
169,2020-03-15,0-15days
170,2020-05-04,0-15days
171,2020-05-06,0-15days
172,2020-03-16,0-15days
173,2020-05-01,0-15days
